#     gamma 1             gamma 2            pos
-0.0071378493278475875 -0.008201641243742718 [16, 12]
0.00018856486453466882 -0.00810809265062736 [17, 12]
-0.001285157846222036 -0.0019081648499069315 [18, 12]
0.001454925723650232 -0.0011790750021600023 [19, 12]
0.005742823069834604 -0.010200950491205646 [20, 12]
-0.005153402337074483 -0.0001332319434036335 [21, 12]
0.009564899693606247 -0.008623072830426057 [22, 12]
0.011634313315142622 0.007654448698989527 [23, 12]
-0.003868742600504254 0.002715564657604101 [24, 12]
0.0003970419285145922 -0.007055311118495845 [25, 12]
-0.0021092689992327613 -0.009169375657706286 [26, 12]
-0.005191976070440708 -0.0009825293941150826 [27, 12]
-0.01167017518360789 -0.0031230061842288754 [28, 12]
-0.004292184176447831 0.010035512596956736 [29, 12]
-0.005697856768563939 0.0008200516583169737 [30, 12]
0.00042632316836846716 0.010164920148488773 [31, 12]
0.000475243681287803 0.009785196703114712 [0, 13]
-0.008804678875345034 -0.007183736212159553 [1, 13]
-0.0056377892306829 0.002177436492040636 [2, 13]
0.0159109047265043 0.002125450598756137 [3, 13]
0.0013798343197189407 0.00766295761307896 [4, 13]
0.0019311472951697285 -0.016350917088276642 [5, 13]
-0.008785029556194528 0.004040729549681072 [6, 13]
0.0023485256509288245 -0.014302933428544407 [7, 13]
-0.007826471971967154 0.008050685650542115 [8, 13]
-0.004476220620275636 0.018656348822501643 [9, 13]
-0.005552366902712274 -0.005598909904909625 [10, 13]
-0.0007899482705763443 -0.002285340483142234 [11, 13]
0.0014678600505385598 0.006959037037610536 [12, 13]
0.002961022559034381 -0.00550571112071872 [13, 13]
0.0026697444554984644 0.0009350661551228147 [14, 13]
0.0018495772445577701 -0.015919314410637334 [15, 13]
0.002249865295346298 -0.0035745015763448216 [16, 13]
0.0124526399739248 -0.014798803906647959 [17, 13]
-0.0029056012411800497 0.004689769496242084 [18, 13]
-0.0038054953791322537 0.006484574692030307 [19, 13]
0.012409818973016944 -0.003077172600349146 [20, 13]
-0.009980439312600927 0.009132309982667567 [21, 13]
0.0048262099160999595 0.004035953306535102 [22, 13]
0.0030504170786673033 0.01385923801040997 [23, 13]
0.0041705319753533535 0.013575781784102611 [24, 13]
0.0075412972172618255 -0.012912045285192627 [25, 13]
-0.00558249517348533 -0.011099345119452275 [26, 13]
-0.009010701628819671 -0.0046541048036381665 [27, 13]
0.001878721240015808 0.00020734311137103598 [28, 13]
-0.0021913636956432344 0.007902192358117007 [29, 13]
-0.003465940827024879 -0.015438926071665448 [30, 13]
-0.0025337315182489316 -2.2740561763333956e-05 [31, 13]
-0.003421137984176139 0.006560082284793439 [0, 14]
0.0008761899280397426 0.004178098182445809 [1, 14]
-0.0032918134765315735 0.008670089209047558 [2, 14]
-0.004119065582245865 -0.021856248400417493 [3, 14]
-0.0033176317892303986 -0.01388994773596171 [4, 14]
-0.0005806340335402565 -0.0034023448334331956 [5, 14]
-0.006683084037988179 0.01719182211837307 [6, 14]
0.001110060020094693 0.0021010938219124483 [7, 14]
-0.007379604704693744 -0.010079757192748867 [8, 14]
0.0017557625315174717 0.013305641371060127 [9, 14]
-0.009979409079005864 -0.004137320229341952 [10, 14]
-2.1383399071794285e-05 0.005935989409379783 [11, 14]
-0.011234741411813675 0.004022016332140407 [12, 14]
-0.006830919257090081 -0.00438423482431767 [13, 14]
0.0017608156676813765 0.0003390420991279321 [14, 14]
0.010569235123506484 -0.02396985053358126 [15, 14]
0.013467310468750097 0.005734262987124561 [16, 14]
0.005850345073755877 -0.006422784928065838 [17, 14]
0.0038827400059738815 0.01543166234290741 [18, 14]
-0.001148125751525804 -0.012763884863720267 [19, 14]
0.006961768078584166 0.008224258594426308 [20, 14]
-0.012865495558103655 0.0014704621949491374 [21, 14]
-0.0018966653020556284 -0.0005015080336974565 [22, 14]
0.00043230516322860426 0.0036924583879878597 [23, 14]
-0.0006603638114396218 -0.021015391927152897 [24, 14]
-0.0037317201057348623 -0.01704582210960346 [25, 14]
-0.008181619207639271 -0.00036673406822728544 [26, 14]
0.004858339832039501 0.023577752077094057 [27, 14]
-0.0026106883178200527 -0.012458003059361079 [28, 14]
-0.00487983706605064 0.005367981766478109 [29, 14]
0.006430479944105165 -0.0073886732295025195 [30, 14]
-0.001334420380083276 0.012187567069951034 [31, 14]
-0.008276106385970481 -0.012113029127416268 [0, 15]
0.005213849325181661 0.002207172261913975 [1, 15]
-0.0021875260522914216 -0.009047733882626677 [2, 15]
-0.003223883699743104 -0.011824988897180488 [3, 15]
0.002845855688807394 -0.010846405389033401 [4, 15]
0.0009540624352831509 -0.01013362736774055 [5, 15]
0.0032262067370196637 0.014164654131845993 [6, 15]
0.0026125134820979457 0.0025194545520356125 [7, 15]
0.0004329656135742036 0.005781487180119737 [8, 15]
0.003339357435173447 0.0031196801158503993 [9, 15]
-0.002641990289233882 -0.004044851224166227 [10, 15]
0.0010486811268884183 0.0037230410579855333 [11, 15]
0.004383525577388413 -0.017878710293865282 [12, 15]
-0.004730359018939549 0.00596426686825189 [13, 15]
0.004716474632663159 -0.0022270010741719925 [14, 15]
-0.0005133713912210096 0.014159126077538121 [15, 15]
-0.005353828524277683 0.00671672930802138 [16, 15]
-0.000878010804476004 0.0013538729597248889 [17, 15]
-0.012710326466556255 -0.007694368813810425 [18, 15]
-0.0072808663557869715 -0.005602000607475592 [19, 15]
-0.011471880736137332 0.009941415086441077 [20, 15]
0.008855841639828037 0.009401662240671304 [21, 15]
-0.010083918514076674 0.010651022177502332 [22, 15]
-0.0026378147155712082 -0.001591873284432843 [23, 15]
-0.006721344304074277 -0.015000433679166751 [24, 15]
0.009059435478183869 -0.008625326833762959 [25, 15]
0.013586227396541329 -0.007369906982953145 [26, 15]
0.006532094442214915 -0.00318336884387693 [27, 15]
0.00266915173245686 0.0033690783474651063 [28, 15]
-0.0007411334819650207 0.0003544146315852281 [29, 15]
-0.002733905787749395 -0.014358798038950231 [30, 15]
-0.0004477588204233281 -0.0007953031816020763 [31, 15]
-0.0030051767960066547 -0.0036773224799845875 [0, 16]
-0.0015360813204983166 0.007389628965299883 [1, 16]
-0.0006349965510155846 -0.004802814679285574 [2, 16]
0.003201660353349698 0.0004988868096859087 [3, 16]
0.0005445035865093278 0.000631984575288209 [4, 16]
-0.01144216551428659 0.010362725706518782 [5, 16]
-0.0028169999330283327 -0.012201711476851364 [6, 16]
