#     gamma 1            gamma 2              pos
0.0006627580352997825 0.0010192142429882771 [11, 15]
-0.002696840969240969 -0.010068271171206272 [12, 15]
0.008497041108268757 -0.0053270405341577474 [13, 15]
0.004223281071667437 -0.02261110457539467 [14, 15]
0.021893467160041775 -0.014983372910877157 [15, 15]
0.004695024351873914 0.005696151838684601 [16, 15]
-0.018487985871770137 0.0038966259330881488 [17, 15]
-0.01328893773231457 0.006439018401306896 [18, 15]
0.003940967851238829 0.006592298865468351 [19, 15]
-0.004131966016522644 -0.005749245167425816 [20, 15]
-0.006350317850304248 0.0029644585133720017 [21, 15]
0.009796119326140558 -0.008913205744117593 [22, 15]
-0.00568591251491779 -0.000604049057437873 [23, 15]
-0.009940913215681375 -0.002912064091895438 [24, 15]
-0.0014814469466975 0.001768112843803421 [25, 15]
0.006146683053680302 0.01672199762595695 [26, 15]
0.0009945159243672148 0.0196658281033653 [27, 15]
0.002142380153336045 0.007831110236757659 [28, 15]
0.000565266666077755 0.0019560889620096537 [29, 15]
-0.002369511132670557 -0.000807714337060947 [30, 15]
-0.001048640673667328 0.01128913400408893 [31, 15]
-0.0014585114499000118 9.515909564501421e-05 [0, 16]
-0.008691456339321113 -0.0038546509699860544 [1, 16]
-0.0015086890649261243 0.0010913234430868447 [2, 16]
0.0025350986538876805 -0.013201327002472162 [3, 16]
-0.004281650617921306 0.01736129298956037 [4, 16]
-0.003349610621959174 -0.006526722878819996 [5, 16]
-0.01954202110338203 0.0030548517536630525 [6, 16]
